base_sigma,window,split_time,filters1,kernel1,filters2,kernel2,dropout_residual,dropout_fc,fc_units,att_ratio,epochs,batch_size,learning_rate,patience_lr,patience_es,val_mae,test_mae,best_epoch,abs_min,abs_max,abs_mean,rel_min,rel_max,rel_mean
10,50,0.7,128,5,128,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.4623617001070603,0.31184287400634764,12,0.0027274622277599775,0.9052149585029187,0.30791845859159567,0.036523574072042,38.515808835972464,5.77948185933594
10,50,0.7,128,7,128,3,0.2,0.3,64,8,500,12,0.001,3,5,0.10224590566420129,0.1106236675964306,12,2.8325618652763618e-05,0.44914572746959347,0.10684392085012985,0.00018107111442501876,19.1106110390871,2.2527763855126044
10,50,0.7,128,7,128,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.1761413551119853,0.16182401375706718,11,0.00023622649472775092,0.6073574951430859,0.15931274071129262,0.006900310873100088,25.842331656465603,2.6279091238062704
10,50,0.7,128,7,128,3,0.2,0.3,64,8,500,32,0.001,3,5,0.6369020213616661,0.6480411451278201,8,0.0001605661426923588,3.4966193965217176,0.6557672821345488,0.0014763448971286829,148.77695400804586,12.321209524658947
10,50,0.7,128,7,128,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.22786273526484305,0.26675170066962434,11,0.00010874271163524574,0.6299989751121106,0.27091779911167607,0.0006390030648955365,26.80569942459517,5.438908310446877
10,50,0.7,128,7,128,3,0.3,0.3,64,8,500,12,0.001,3,5,0.15291810327944697,0.14845804453710418,11,0.0001544406979348406,0.4374751678248944,0.13952008112114414,0.0024064031274754734,18.614042748802273,2.3967989176687374
10,50,0.7,128,7,128,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.0788594229412288,0.0592841156411629,25,8.057827891640515e-05,0.2748267816067931,0.06389239732443151,0.003025776188888816,4.221059959059882,0.9363915651649445
10,50,0.7,128,7,128,3,0.3,0.3,64,8,500,32,0.001,3,5,0.19672700642552834,0.21810186289806438,18,0.0012984338701062387,0.45899195388567415,0.22251356097590888,0.02190304812464676,19.248007118721986,4.353249581676879
10,50,0.7,128,7,128,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.2900449414198402,0.2153348265311137,8,0.0003128377728165675,0.7904431751510205,0.21020450756484554,0.006052677678919451,33.632407356774415,3.6671257726431064
20,30,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.12363267362963748,0.13925370001905676,12,0.002225855147957506,0.44519009502139706,0.1326784758236169,0.011178233197778229,18.942303631250986,2.108274009537071
20,30,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.2285418540008821,0.22436959252879993,7,0.0011349885028375042,0.5878312678695914,0.22813824890428777,0.027073514747964343,24.658614316956147,3.7630304950193163
20,30,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.1528215886992313,0.10351509913985231,7,0.00025945587573179135,0.7063781550666394,0.10036223079072171,0.006987312983096251,30.055541759328843,1.6861548281853265
20,30,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.5498519779830899,0.4493950849586879,15,0.00015782712229188423,1.6508061221381727,0.4555166646577451,0.0014513643634839121,70.23981699405586,8.735254790171421
20,30,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.163456373595986,0.11201552191049768,17,3.607720002704595e-05,0.66223947123301,0.11715600329426831,0.0002306229881264808,20.705004412376372,2.3138649521663766
20,30,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.7575712416503647,0.6415382690067558,12,7.380783865192087e-05,2.5114786119819876,0.6541621944208593,0.0011500298570207364,99.3879079239139,12.078750210418159
20,30,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.001,3,5,0.1743249877855369,0.16667261064315098,21,0.0001247204463963869,0.4286719790240826,0.16522380716473825,0.0009456874727393576,18.239477642675666,3.51071517499291
20,30,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.286591201463358,0.25220981193160213,12,0.0050144282588658814,0.9089285226227042,0.2522098119316022,0.21335789739885724,31.201327143240984,4.045573828470007
20,30,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.20231865489825873,0.21255716381653517,6,7.398487535138082e-05,0.6944144895812573,0.20641001720972701,0.0031479675507128145,29.54650216770016,3.531301486025639
20,30,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.24850813922249493,0.19937551419259159,13,0.00041121083062710395,0.8697509697219433,0.19193607622448464,0.006008172246113491,37.00685872459987,3.365832282845495
20,30,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.6409348686769658,0.32613037010728035,15,0.000716624699624864,1.5432669451972547,0.3386498971983932,0.01032147108668847,65.6641542274083,6.462987763685676
20,30,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,1.1478996593180426,1.2032928462321708,9,0.002642668840555154,5.817477414167047,1.214463296603639,0.03657654533737118,240.05418468043428,22.417972938033262
20,30,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.1492454623675005,0.13080311774211348,15,0.0007764161746602431,0.5234184356094596,0.13024820328131734,0.02047469458707486,14.798336145060999,2.222394171289845
20,30,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.5222701681253228,0.3650998549254974,29,4.967328712610075e-05,1.9290809126259085,0.3635341156206073,0.0004467644243605957,74.60758558809317,6.6072838819116155
20,30,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.001,3,5,1.239511019220866,1.1075764580096321,8,0.06107705770525317,3.19200294525829,1.1059398262136977,0.9774968096157208,135.81589001440807,19.94299384936688
20,30,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.31249281796060335,0.2769521459216349,10,2.239613816229502e-05,1.3586767247458997,0.2834090295732343,0.00014257682438386415,57.810062138991405,5.4941990611172065
20,30,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.001,3,5,0.30481967035103635,0.3411252037973852,7,0.008833415100055114,0.7534103921195568,0.33475312137193536,0.0500769731553794,32.056706935006254,5.88464544916475
20,30,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.5211719144254714,0.44084450853072876,9,0.00020267939659934092,2.5279340238929984,0.4481764152917575,0.001999038667455076,100.08806592895822,8.116199623985212
20,30,0.7,128,5,128,3,0.2,0.3,64,8,500,32,0.001,3,5,0.13797801701981624,0.09815460652964436,16,2.890106842187712e-05,0.43003412500631777,0.09290621788577813,0.00025993788500704125,10.886730600228626,1.4851526013008707
20,30,0.7,128,5,128,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.5437749347705667,0.4549628960645822,10,0.006152318180531073,1.7382987232567069,0.45496289606458223,0.2617737463500486,66.49003266209525,7.758811459867518
20,30,0.7,128,5,128,3,0.3,0.3,64,8,500,12,0.001,3,5,0.22721048858707607,0.14263970481290866,11,4.997854925095635e-06,0.6761402280689475,0.1453830777131605,8.21408680700279e-05,21.296464913486265,2.476206541172689
20,30,0.7,128,5,128,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.3214684851136646,0.2608083405805552,10,0.00045150984153166304,0.9981657357574698,0.2640918074266224,0.01280344827944354,34.998263340404456,4.562215778319824
20,30,0.7,128,5,128,3,0.3,0.3,64,8,500,32,0.001,3,5,0.3833456184691733,0.46067551684189395,11,0.00011999011269031579,2.162626200034291,0.47177471607266386,0.0007050959886255123,92.0171463383056,9.098592537357755
20,30,0.7,128,5,128,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.20767631707679865,0.15688692614076882,13,2.505723461523543e-05,0.7302191785117688,0.15281126835642528,0.0009452361381979186,31.06994866107204,2.7881552604231636
20,30,0.7,128,7,128,3,0.2,0.3,64,8,500,12,0.001,3,5,0.14376441977139695,0.1098514806787995,19,0.000130528209300651,0.432238632595658,0.10996085286919448,0.000767020837940994,12.154148314705411,2.068202767126832
20,30,0.7,128,7,128,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.08797245575446247,0.09685723701510152,13,2.884328263730307e-06,0.4057865680814978,0.10559538834072695,0.00011268104681566888,9.793241520665436,2.0665266495509806
20,30,0.7,128,7,128,3,0.2,0.3,64,8,500,32,0.001,3,5,0.3163101594525175,0.2039821847873058,10,0.000147208878546079,0.8089945407272574,0.2121871646548812,0.0009371514978214043,26.949256287862877,3.7968083809216226
20,30,0.7,128,7,128,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.5599765261088716,0.5897131383563987,10,0.00911302524152379,1.830884763753533,0.5897131383563989,0.38774827439927956,70.42945743977788,10.226639126497409
20,30,0.7,128,7,128,3,0.3,0.3,64,8,500,12,0.001,3,5,0.07647164587593451,0.05990398836472744,22,0.0002132204084107081,0.19666503953424067,0.05872279281257275,0.0013573897653573897,6.1482808945197895,1.1340977761230953
20,30,0.7,128,7,128,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.24999307408877336,0.212983099914094,10,3.365421794951362e-06,0.8660992474914786,0.21641466769786255,5.531146297805085e-05,29.378992947321667,3.966153333138543
20,30,0.7,128,7,128,3,0.3,0.3,64,8,500,32,0.001,3,5,0.1838190874704678,0.13317653654018852,10,9.688137300904731e-05,0.9431582620879712,0.1422112942331913,0.000890912602528988,40.130250813272646,2.862995236888399
20,30,0.7,128,7,128,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.45174547885912847,0.4522600728299394,16,0.0005874230180250156,2.2479190321327445,0.4477259436872212,0.007247066854668791,88.17376447764214,7.8908407258776885
20,50,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.079611593973969,0.06686979808038987,11,3.413801000926031e-05,0.43987564162027804,0.07400731156038073,0.0003067948396734494,11.243690640492739,1.4233338675428522
20,50,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.22855979056643771,0.1500637391448983,17,7.101755548528585e-05,0.5759224088550803,0.14558682970350706,0.00046919662882517163,17.032317121250117,2.553698011266659
20,50,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.4231773279192473,0.5491508741017475,11,0.0009837742614516587,2.286506347968251,0.5459549426842525,0.03072212957066676,97.28809778644278,9.718514701409024
20,50,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.3375337375187331,0.32006953209530353,12,0.00022637028403796333,1.2337927153846326,0.3231461871560625,0.0012833019289305188,52.49639759329792,6.439368287595975
20,50,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.07540001782868379,0.10509624198785084,15,2.393124194755014e-06,0.44432828739893404,0.10302247068967302,1.4062677600440371e-05,11.433145368360519,1.7044535257494715
20,50,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.15594873844239338,0.1786132607925376,12,0.0008674930500754685,0.5212895801803173,0.1858134686156872,0.009652415566305106,22.180245288494874,3.8276743643242375
20,50,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.001,3,5,0.2636477716548373,0.2494545174549424,7,2.7193373845671442e-05,1.4595988483787772,0.25552008686070027,0.0011013700423560147,54.63168785396183,4.598189599507888
20,50,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.24709140127766846,0.2668665124913219,13,0.00017369583162789998,0.9172621897002758,0.27165239924710605,0.0029072624781727174,39.02840404823848,5.259969681996017
20,50,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.3381355718222798,0.3280064694704556,7,0.0008266061521488566,1.6033634475013319,0.3312511325863258,0.004857372570001499,68.22118819233803,6.600945457988953
20,50,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.580688729011137,0.7794368888291631,7,0.0014742823552859677,2.534753494574696,0.7810710510586796,0.04655856486936397,107.85071559667271,13.863315002568042
20,50,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.2748622085770799,0.2143265900781355,13,0.0005171760903316114,0.5871644547721447,0.22478182867736862,0.003306040802790459,24.98314205134626,4.4325483534071815
20,50,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.5796276040538421,0.45196608947439354,11,0.005784155427070198,1.1364019008041617,0.4441781895640567,0.03697513131226653,40.88004606741753,7.656720270028677
20,50,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.14908004300574082,0.13939249214088803,16,0.00013340155383652352,0.3678945830604138,0.14720781754528164,0.001095199473109479,15.653472470648532,3.128671499590247
20,50,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.4699974018080962,0.36944633583718467,8,0.0003140280245718663,2.0888320735236707,0.3794048894708411,0.0028619885841560232,88.87729492157557,7.02274613958846
20,50,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.001,3,5,0.19380880072527143,0.17736685710942265,9,4.294805775420518e-06,0.9291017146469351,0.18250898646898178,7.024986413109945e-05,32.05967222505631,3.337142425878588
20,50,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.21810030651702408,0.13610762970833598,7,2.7827336214696075e-05,0.5775921276351513,0.13747443339241563,0.000878801020474955,24.575851033162493,2.4786594445217247
20,50,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.001,3,5,0.07350282895959459,0.07333723654649175,11,0.00015822868637524468,0.20909135849681515,0.076072495276802,0.0008970045662152384,8.896586073252736,1.7082438011394125
20,50,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.3124305364270879,0.26379012069766133,8,7.109721903966748e-05,1.0610532096168104,0.2660745591034624,0.0011507037079747187,45.14653917560546,5.009718443551052
